CMDLINE uv run ./cs336_basics/bbpe_tokenizer.py
CHLD 36952 23.023438 1773012443.8558
CHLD 61868 3942.492188 1773012443.8558
MEM 24.031250 1773012443.9565
CHLD 25412 3.320312 1773012444.0832
CHLD 36952 23.023438 1773012444.0832
CHLD 61868 2364.265625 1773012444.0832
MEM 24.031250 1773012444.1861
CHLD 25412 3.320312 1773012444.1907
CHLD 36952 23.023438 1773012444.1907
CHLD 61868 1568.746094 1773012444.1907
MEM 24.031250 1773012444.2961
CHLD 25412 3.320312 1773012444.3722
CHLD 36952 23.023438 1773012444.3722
CHLD 61868 852.355469 1773012444.3722
MEM 24.031250 1773012444.4728
CHLD 25412 3.320312 1773012444.5042
CHLD 36952 23.023438 1773012444.5042
CHLD 61868 1106.976562 1773012444.5042
MEM 24.031250 1773012444.6055
CHLD 25412 3.320312 1773012444.6139
CHLD 36952 23.023438 1773012444.6139
CHLD 61868 1242.242188 1773012444.6139
MEM 0.000000 1773012444.7227
CHLD 25412 0.000000 1773012444.7434
CHLD 36952 0.000000 1773012444.7434
CHLD 61868 1486.605469 1773012444.7434
MEM 0.011719 1773012444.8459
CHLD 25412 0.015625 1773012444.9466
CHLD 36952 0.015625 1773012444.9466
CHLD 61868 1350.359375 1773012444.9466
MEM 0.011719 1773012445.0487
CHLD 25412 0.015625 1773012445.1449
CHLD 36952 0.015625 1773012445.1449
CHLD 61868 707.207031 1773012445.1449
MEM 0.011719 1773012445.2454
CHLD 25412 0.015625 1773012445.2823
CHLD 36952 0.015625 1773012445.2823
CHLD 61868 428.304688 1773012445.2823
MEM 0.011719 1773012445.3833
CHLD 25412 0.015625 1773012445.4479
CHLD 36952 0.015625 1773012445.4479
CHLD 61868 120.917969 1773012445.4479
MEM 0.011719 1773012445.7249
CHLD 25412 0.015625 1773012445.9434
CHLD 36952 0.015625 1773012445.9434
CHLD 61868 13.894531 1773012445.9434
MEM 0.011719 1773012446.0437
CHLD 25412 0.015625 1773012446.7468
CHLD 36952 0.015625 1773012446.7468
CHLD 61868 13.394531 1773012446.7468
MEM 0.011719 1773012446.8487
CHLD 25412 0.015625 1773012447.5687
CHLD 36952 0.015625 1773012447.5687
CHLD 61868 10.210938 1773012447.5687
MEM 0.011719 1773012447.6698
CHLD 25412 0.015625 1773012447.7058
CHLD 36952 0.015625 1773012447.7058
CHLD 61868 16.414062 1773012447.7058
MEM 0.011719 1773012447.8094
CHLD 25412 0.015625 1773012447.8215
CHLD 36952 0.015625 1773012447.8215
CHLD 61868 45.011719 1773012447.8215
MEM 0.011719 1773012447.9229
CHLD 25412 0.015625 1773012447.9640
CHLD 36952 0.015625 1773012447.9640
CHLD 61868 96.250000 1773012447.9640
MEM 0.011719 1773012448.0691
CHLD 25412 0.015625 1773012448.0779
CHLD 36952 0.015625 1773012448.0779
CHLD 61868 143.070312 1773012448.0779
MEM 0.011719 1773012448.1802
CHLD 25412 0.015625 1773012448.2439
CHLD 36952 0.015625 1773012448.2439
CHLD 61868 154.097656 1773012448.2439
MEM 0.011719 1773012448.3452
CHLD 25412 0.015625 1773012448.4376
CHLD 36952 0.015625 1773012448.4376
CHLD 61868 115.093750 1773012448.4376
MEM 0.011719 1773012448.5406
CHLD 25412 0.015625 1773012448.5476
CHLD 36952 0.015625 1773012448.5476
CHLD 61868 81.738281 1773012448.5476
MEM 0.011719 1773012448.6487
CHLD 25412 0.015625 1773012448.6561
CHLD 36952 0.015625 1773012448.6561
CHLD 61868 67.156250 1773012448.6561
MEM 0.011719 1773012448.7564
CHLD 25412 0.015625 1773012448.7632
CHLD 36952 0.015625 1773012448.7632
CHLD 61868 73.761719 1773012448.7632
MEM 0.011719 1773012448.8658
CHLD 25412 0.015625 1773012448.8726
CHLD 36952 0.015625 1773012448.8726
CHLD 61868 89.597656 1773012448.8726
MEM 0.011719 1773012448.9741
CHLD 25412 0.015625 1773012448.9809
CHLD 36952 0.015625 1773012448.9809
CHLD 61868 107.796875 1773012448.9809
MEM 0.996094 1773012449.0825
CHLD 25412 0.015625 1773012449.0904
CHLD 36952 0.015625 1773012449.0904
CHLD 61868 128.769531 1773012449.0904
MEM 0.996094 1773012449.1906
CHLD 25412 0.015625 1773012449.2043
CHLD 36952 0.015625 1773012449.2043
CHLD 61868 148.894531 1773012449.2043
MEM 0.996094 1773012449.3068
CHLD 25412 0.015625 1773012449.3151
CHLD 36952 0.015625 1773012449.3151
CHLD 61868 167.925781 1773012449.3151
MEM 0.996094 1773012449.4156
CHLD 25412 0.015625 1773012449.4210
CHLD 36952 0.015625 1773012449.4210
CHLD 61868 187.167969 1773012449.4210
MEM 0.996094 1773012449.5244
CHLD 25412 0.015625 1773012449.5293
CHLD 36952 0.015625 1773012449.5293
CHLD 61868 214.164062 1773012449.5293
MEM 0.996094 1773012449.6333
CHLD 25412 0.015625 1773012449.6384
CHLD 36952 0.015625 1773012449.6384
CHLD 61868 237.292969 1773012449.6384
MEM 0.996094 1773012449.7416
CHLD 25412 0.015625 1773012449.7488
CHLD 36952 0.015625 1773012449.7488
CHLD 61868 262.136719 1773012449.7488
MEM 0.996094 1773012449.8494
CHLD 25412 0.015625 1773012449.8544
CHLD 36952 0.015625 1773012449.8544
CHLD 61868 284.218750 1773012449.8544
MEM 0.996094 1773012449.9577
CHLD 25412 0.015625 1773012449.9665
CHLD 36952 0.015625 1773012449.9665
CHLD 61868 301.082031 1773012449.9665
MEM 0.996094 1773012450.0676
CHLD 25412 0.015625 1773012450.0793
CHLD 36952 0.015625 1773012450.0793
CHLD 61868 320.867188 1773012450.0793
MEM 0.996094 1773012450.1800
CHLD 25412 0.015625 1773012450.1885
CHLD 36952 0.015625 1773012450.1885
CHLD 61868 335.128906 1773012450.1885
MEM 0.996094 1773012450.2895
CHLD 25412 0.015625 1773012450.2962
CHLD 36952 0.015625 1773012450.2962
CHLD 61868 357.277344 1773012450.2962
MEM 0.996094 1773012450.3975
CHLD 25412 0.015625 1773012450.4001
CHLD 36952 0.015625 1773012450.4001
CHLD 61868 384.621094 1773012450.4001
MEM 0.996094 1773012450.5054
CHLD 25412 0.015625 1773012450.5118
CHLD 36952 0.015625 1773012450.5118
CHLD 61868 410.812500 1773012450.5118
MEM 0.996094 1773012450.6127
CHLD 25412 0.015625 1773012450.6181
CHLD 36952 0.015625 1773012450.6181
CHLD 61868 439.335938 1773012450.6181
MEM 0.996094 1773012450.7217
CHLD 25412 0.015625 1773012450.7267
CHLD 36952 0.015625 1773012450.7267
CHLD 61868 578.257812 1773012450.7267
MEM 0.996094 1773012450.8299
CHLD 25412 0.015625 1773012450.8353
CHLD 36952 0.015625 1773012450.8353
CHLD 61868 820.574219 1773012450.8353
MEM 0.996094 1773012450.9373
CHLD 25412 0.015625 1773012450.9444
CHLD 36952 0.015625 1773012450.9444
CHLD 61868 1042.734375 1773012450.9444
MEM 0.996094 1773012451.0489
CHLD 25412 0.015625 1773012451.0540
CHLD 36952 0.015625 1773012451.0540
CHLD 61868 1264.929688 1773012451.0540
MEM 0.996094 1773012451.1586
CHLD 25412 0.015625 1773012451.1626
CHLD 36952 0.015625 1773012451.1626
CHLD 61868 1466.675781 1773012451.1626
MEM 0.996094 1773012451.2673
CHLD 25412 0.015625 1773012451.2710
CHLD 36952 0.015625 1773012451.2710
CHLD 61868 1687.117188 1773012451.2710
